START report: Thu Oct 19 00:44:36 2017 
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
+   OBJECT "X_MUX_CIR3_ESC10.MN3": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
+   OBJECT "X_MUX_CIR3_ESC10.MN3": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 11:
+   OBJECT "X_MUX_CIR3_ESC10.MP3": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 11:
+   OBJECT "X_MUX_CIR3_ESC10.MP3": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 12:
+   OBJECT "X_MUX_CIR3_ESC10.MN2": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 12:
+   OBJECT "X_MUX_CIR3_ESC10.MN2": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 13:
+   OBJECT "X_MUX_CIR3_ESC10.MP2": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 13:
+   OBJECT "X_MUX_CIR3_ESC10.MP2": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 14:
+   OBJECT "X_MUX_CIR3_ESC10.MN1": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 14:
+   OBJECT "X_MUX_CIR3_ESC10.MN1": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 15:
+   OBJECT "X_MUX_CIR3_ESC10.MP1": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 15:
+   OBJECT "X_MUX_CIR3_ESC10.MP1": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
+   OBJECT "X_MUX_CIR2_ESC11.MN3": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 10:
+   OBJECT "X_MUX_CIR2_ESC11.MN3": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 11:
+   OBJECT "X_MUX_CIR2_ESC11.MP3": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 11:
+   OBJECT "X_MUX_CIR2_ESC11.MP3": Model MUX_CIR_ESC1.P not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 12:
+   OBJECT "X_MUX_CIR2_ESC11.MN2": Model MUX_CIR_ESC1.N not yet defined.
** Error: (eldo - 1577)  In file "./netlist.spi" line 12:
+   OBJECT "X_MUX_CIR2_ESC11.MN2": Model MUX_CIR_ESC1.N not yet defined.
