START report: Sat Oct 28 02:03:46 2017 
** Warning: (eldo - 1615)  In file "./sipo.cir_tsmc018a.cir" line 15:
+   COMMAND ".TRAN": TPRINT can not be <= 0.0.
+   It is set to TSTOP/20.0 = 1.500e-08 s.
** Warning: (eldo - 500)  In file "./sipo.cir_tsmc018a.cir" line 28:
+   COMMAND ".PLOT": no dcsweep analysis found in the netlist. Command is ignored.
** Warning: (eldo - 500)  In file "./sipo.cir_tsmc018a.cir" line 28:
+   COMMAND ".PLOT": no dcsweep analysis found in the netlist. Command is ignored.
** Warning: (eldo - 500)  In file "./sipo.cir_tsmc018a.cir" line 28:
+   COMMAND ".PLOT": no dcsweep analysis found in the netlist. Command is ignored.
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF3.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR3_ESC3.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR2_ESC4.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR1_ESC7.X_INVERTER_CIR1_ESC5.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR3_ESC3.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR2_ESC4.VSS": This bulk node is not biased. 
** Warning: (eldo - 109)  NODE "X_DFF2.X_DFLIPFLOPNOINVNEW_CIR2_ESC8.X_INVERTER_CIR1_ESC5.VSS": This bulk node is not biased. 
